Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,http://127.0.0.1:8000/en-gb/basket/add/209/,26,1,11000,10218.153846153846,3810,13076,71443.42307692308,0.08499920016798386,0.0032692000064609176,11000,11000,11000,11000,12000,12000,13000,13000,13000,13000,13000
GET,http://127.0.0.1:8000/en-gb/catalogue/,51,0,7200,7444.529411764706,3971,10387,62884.78431372549,0.1667292003295068,0.0,7200,7800,8200,8200,8800,9300,9500,10000,10000,10000,10000
GET,http://127.0.0.1:8000/en-gb/checkout/,25,0,3600,3585.32,2204,6040,21161.8,0.08173000016152294,0.0,3600,3700,3800,4100,4400,5000,6000,6000,6000,6000,6000
POST,http://127.0.0.1:8000/en-gb/checkout/,25,0,3500,3356.68,2202,4587,21159.32,0.08173000016152294,0.0,3500,3500,3600,4000,4100,4200,4600,4600,4600,4600,4600
GET,http://127.0.0.1:8000/en-gb/checkout/payment-details/,22,0,4500,4542.363636363636,3429,5686,21156.409090909092,0.07192240014214019,0.0,4600,4900,5000,5300,5500,5600,5700,5700,5700,5700,5700
GET,http://127.0.0.1:8000/en-gb/checkout/payment-method/,23,0,4300,4281.304347826087,3419,5239,21153.043478260868,0.0751916001486011,0.0,4300,4600,4700,4700,4800,4900,5200,5200,5200,5200,5200
GET,http://127.0.0.1:8000/en-gb/checkout/preview/,22,0,3200,3259.090909090909,2608,4104,21157.045454545456,0.07192240014214019,0.0,3200,3500,3700,3700,3800,4100,4100,4100,4100,4100,4100
POST,http://127.0.0.1:8000/en-gb/checkout/preview/,20,0,3300,3440.3,2583,4467,21162.3,0.06538400012921836,0.0,3400,3600,4000,4200,4500,4500,4500,4500,4500,4500,4500
GET,http://127.0.0.1:8000/en-gb/checkout/shipping-address/,25,0,4400,4514.12,3540,5799,21157.56,0.08173000016152294,0.0,4400,4600,4800,5200,5500,5600,5800,5800,5800,5800,5800
POST,http://127.0.0.1:8000/en-gb/checkout/shipping-address/,24,0,4200,4256.75,3118,5399,21155.875,0.07846080015506203,0.0,4400,4500,4700,4700,4900,4900,5400,5400,5400,5400,5400
GET,http://127.0.0.1:8000/en-gb/checkout/shipping-method/,24,0,3000,2910.1666666666665,2091,3695,21153.166666666668,0.07846080015506203,0.0,3000,3000,3100,3100,3400,3500,3700,3700,3700,3700,3700
GET,http://127.0.0.1:8000/en-gb/checkout/thank-you/,20,0,2300,2318.15,1702,3049,19823.75,0.06538400012921836,0.0,2300,2400,2400,2700,2800,3000,3000,3000,3000,3000,3000
GET,http://127.0.0.1:8000/static/oscar/favicon.ico,26,0,64,75.6923076923077,22,192,1150.0,0.08499920016798386,0.0,81,92,99,110,130,140,190,190,190,190,190
,Aggregated,333,1,3900,4477.45045045045,22,13076,29832.054054054053,1.0886436021514856,0.0032692000064609176,3900,4600,5300,6700,8300,10000,11000,12000,13000,13000,13000
