Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,http://127.0.0.1:8000/en-gb/basket/add/209/,10,0,4400,4457.5,3979,5092,65122.3,0.032852099295273995,0.0,4400,4600,4900,5000,5100,5100,5100,5100,5100,5100,5100
GET,http://127.0.0.1:8000/en-gb/catalogue/,20,0,3400,3415.0,3072,3882,62886.0,0.06570419859054799,0.0,3400,3500,3600,3600,3900,3900,3900,3900,3900,3900,3900
GET,http://127.0.0.1:8000/en-gb/checkout/,10,0,1700,1825.2,1529,2400,21150.2,0.032852099295273995,0.0,1800,1800,1800,2300,2400,2400,2400,2400,2400,2400,2400
POST,http://127.0.0.1:8000/en-gb/checkout/,10,0,1700,1734.9,1477,1876,21150.1,0.032852099295273995,0.0,1800,1800,1800,1800,1900,1900,1900,1900,1900,1900,1900
GET,http://127.0.0.1:8000/en-gb/checkout/payment-details/,9,0,2300,2384.8888888888887,1990,2779,21150.0,0.029566889365746595,0.0,2300,2400,2400,2800,2800,2800,2800,2800,2800,2800,2800
GET,http://127.0.0.1:8000/en-gb/checkout/payment-method/,9,0,2500,2614.1111111111113,2330,3029,21150.222222222223,0.029566889365746595,0.0,2500,2700,2900,2900,3000,3000,3000,3000,3000,3000,3000
GET,http://127.0.0.1:8000/en-gb/checkout/preview/,9,0,1700,1826.111111111111,1404,3171,21150.222222222223,0.029566889365746595,0.0,1700,1700,1700,2000,3200,3200,3200,3200,3200,3200,3200
POST,http://127.0.0.1:8000/en-gb/checkout/preview/,9,0,1800,1861.888888888889,1698,2293,21150.222222222223,0.029566889365746595,0.0,1800,1800,1900,2100,2300,2300,2300,2300,2300,2300,2300
GET,http://127.0.0.1:8000/en-gb/checkout/shipping-address/,10,0,2400,2450.8,2195,2884,21150.2,0.032852099295273995,0.0,2400,2400,2500,2700,2900,2900,2900,2900,2900,2900,2900
POST,http://127.0.0.1:8000/en-gb/checkout/shipping-address/,10,0,2400,2424.9,2122,2916,21150.2,0.032852099295273995,0.0,2400,2400,2500,2700,2900,2900,2900,2900,2900,2900,2900
GET,http://127.0.0.1:8000/en-gb/checkout/shipping-method/,10,0,1700,1792.7,1598,2299,21150.1,0.032852099295273995,0.0,1700,1800,1900,2000,2300,2300,2300,2300,2300,2300,2300
GET,http://127.0.0.1:8000/en-gb/checkout/thank-you/,9,0,1100,1189.7777777777778,985,1770,19816.88888888889,0.029566889365746595,0.0,1100,1100,1200,1200,1800,1800,1800,1800,1800,1800,1800
GET,http://127.0.0.1:8000/static/oscar/favicon.ico,10,0,19,25.8,16,52,1150.0,0.032852099295273995,0.0,23,28,31,37,52,52,52,52,52,52,52
,Aggregated,135,0,2200,2254.140740740741,16,5092,29020.066666666666,0.4435033404861989,0.0,2200,2400,2900,3200,3600,4200,4900,5000,5100,5100,5100
